step,loss,time_ms,tokens_per_sec
1,69.143684,595.023,6883
2,76.601730,393.748,10402
3,84.211723,393.531,10408
4,91.819939,396.435,10332
5,99.285637,390.052,10501
6,106.756279,390.785,10481
7,114.176880,398.061,10289
8,121.022163,398.149,10287
9,128.345032,393.872,10399
10,135.266830,400.500,10227
11,142.774658,395.323,10361
12,149.942429,395.802,10348
13,157.362885,392.409,10438
14,164.648636,395.868,10346
15,171.445145,394.089,10393
16,178.252731,395.089,10367
17,185.369568,392.439,10437
18,192.303436,389.309,10521
19,199.135468,400.041,10238
20,206.001038,394.690,10377
21,267.793274,419.888,9754
22,274.704346,418.232,9793
23,281.160919,409.322,10006
24,287.868469,425.748,9620
25,294.454956,401.006,10214
26,301.396759,398.150,10287
27,308.341370,398.278,10284
28,315.041595,473.699,8646
29,321.611359,449.819,9105
30,328.092407,456.297,8976
31,334.441315,442.125,9264
32,341.013031,422.331,9698
33,347.813477,427.336,9584
34,354.522522,433.518,9448
35,361.399536,408.606,10024
36,367.956299,427.816,9574
37,374.171783,437.887,9354
38,380.505585,418.075,9797
39,387.260742,421.588,9715
40,393.659241,435.442,9406
41,453.345459,396.979,10317
42,459.726166,435.853,9397
43,465.991211,416.311,9838
44,472.538696,416.594,9832
45,479.219910,415.679,9853
46,485.772461,418.157,9795
47,492.414154,395.149,10365
48,499.457153,391.412,10464
49,505.984314,394.804,10374
50,512.567017,405.745,10095
51,519.087219,413.716,9900
52,525.913086,415.490,9858
53,532.333496,391.476,10462
54,538.582153,416.234,9840
55,544.850647,454.631,9009
56,551.014954,520.318,7872
57,557.069092,488.443,8385
58,563.601562,479.885,8535
59,569.937073,503.773,8130
60,576.538025,469.010,8733
61,634.453857,421.985,9706
62,640.953857,394.077,10393
63,647.275513,396.660,10326
64,653.695618,396.786,10322
65,660.307922,405.729,10095
66,666.354370,421.919,9708
67,672.923706,411.025,9965
68,679.589539,400.307,10232
69,685.998596,410.051,9988
70,692.313782,458.293,8937
71,698.949280,407.036,10062
72,705.627747,391.766,10455
73,712.405212,395.591,10354
74,719.023987,394.518,10382
