step,loss,time_ms,tokens_per_sec
1,4.287294,1930.376,2121
2,4.727464,1202.961,3404
3,4.392486,1108.869,3693
4,3.628448,1107.666,3697
5,3.717063,1091.796,3751
6,4.013010,945.382,4332
7,4.111050,855.252,4789
8,3.623477,874.421,4684
9,3.965119,820.706,4990
10,3.581288,871.330,4700
11,4.028182,889.691,4603
12,3.813456,897.618,4563
13,4.029051,935.919,4376
14,3.884983,889.226,4606
15,3.711984,931.015,4399
16,3.553737,927.762,4414
17,3.986852,891.955,4592
18,3.809006,869.364,4711
19,3.533676,890.691,4598
20,3.678063,904.182,4530
21,3.608600,893.385,4584
22,3.612472,860.910,4757
23,3.147770,852.891,4802
24,3.344446,891.477,4594
25,3.705920,1600.021,2559
26,3.540183,1205.538,3397
27,3.844021,1300.228,3150
28,3.446031,1503.044,2725
29,3.317714,1735.011,2360
30,3.280146,1780.604,2300
31,3.154610,1937.789,2113
32,3.444819,1800.002,2275
33,3.566518,1742.962,2350
34,3.485903,1753.252,2336
35,3.722602,1699.695,2409
36,3.379253,1757.890,2330
37,3.200061,1694.487,2417
38,3.180842,1649.756,2482
39,3.601004,1763.858,2322
40,3.083306,1779.063,2302
41,3.829912,1512.744,2707
42,3.363216,1540.850,2658
43,3.355257,1544.525,2651
44,3.418578,1524.494,2686
45,3.608704,1582.323,2588
46,3.130490,1676.229,2443
47,3.464478,1458.418,2808
48,3.973860,1307.008,3133
49,3.224258,1497.790,2734
50,3.417396,1476.551,2774
51,3.760573,1390.636,2945
52,3.768748,1595.524,2567
53,3.411708,1505.596,2720
54,3.389843,1487.708,2753
55,3.274153,1493.837,2741
56,3.261063,1494.099,2741
57,3.027689,1470.577,2785
58,3.478982,1530.912,2675
59,3.271196,1414.509,2895
60,3.495963,1542.198,2655
61,3.212545,1531.076,2675
62,3.451654,1196.474,3423
63,3.371481,1214.426,3372
64,3.409282,1182.881,3462
65,3.579121,1192.361,3435
66,3.030965,1283.039,3192
67,3.295757,1069.019,3831
68,3.676779,956.647,4281
69,3.297459,999.669,4097
70,3.647171,1186.977,3450
71,3.567907,1229.299,3331
72,3.734146,1210.413,3383
73,3.824898,1673.040,2448
74,3.382361,1843.820,2221
